 ==============================================================================
| Branch flow                                                                 |
 ==============================================================================
|Branch  From   To        From Bus Injection              To Bus Injection    |
|  #     Bus    Bus    P (pu)   Q (pu)  loading        P (pu)   Q (pu) loading|
  28    4022   4031     7.873  -0.336    87.56%        -7.620   1.678   86.70%
  29    4022   4031     7.873  -0.336    87.56%        -7.620   1.678   86.70%
  30    4031   4032     9.251  -1.313    98.36%        -9.164   1.880   98.48%
  31    4031   4041     6.703  -1.286    75.84%        -6.434   0.684   71.89%
  32    4031   4041     6.703  -1.286    91.01%        -6.434   0.684   86.27%
  33    4032   4042     5.741  -1.582    79.40%        -5.412   0.882   73.12%
  34    4032   4044     7.153  -0.524    95.64%        -6.848   0.670   91.74%
  35    4041   4044     6.021  -0.297    80.38%        -5.913   0.491   79.11%
  36    4041   4061     1.446  -0.391    16.65%        -1.433  -0.788   18.17%
  37    4042   4043     7.434   0.857    83.14%        -7.321  -0.497   81.53%
  38    4042   4044     6.213  -0.224    69.08%        -6.136   0.400   68.32%
  39    4043   4044     1.047  -2.105    26.13%        -1.042   1.867   23.76%
  40    4043   4046     1.143   0.532    25.22%        -1.142  -0.796   27.83%
  41    4043   4047    -3.870  -0.984    79.86%         3.902   0.724   79.38%
  42    4044   4045     4.173  -0.394    83.83%        -4.138   0.156   82.81%
  43    4044   4045     4.173  -0.394    83.83%        -4.138   0.156   82.81%
  44    4045   4051     1.004  -0.891    26.86%        -1.000  -0.253   20.63%
  45    4045   4051     1.004  -0.891    26.86%        -1.000  -0.253   20.63%
  46    4045   4062    -3.248  -0.380    65.40%         3.373  -1.087   70.88%
  47    4046   4047    -5.858  -1.734    81.46%         5.898   1.838   82.36%
  48    4061   4062    -3.567  -0.702    72.71%         3.594   0.381   72.27%
  49    4062   4063    -2.333  -0.133    46.74%         2.350  -0.601   48.51%
  50    4062   4063    -2.333  -0.133    46.74%         2.350  -0.601   48.51%
  51    4071   4072     0.000  -1.500    30.00%        -0.000  -1.500   30.00%
  52    4071   4072     0.000  -1.500    30.00%        -0.000  -1.500   30.00%
  53      41   4041    -5.400  -1.283    55.50%         5.400   1.600   56.32%
  54      42   4042    -4.000  -1.257    41.93%         4.000   1.494   42.70%
  55      43   4043    -9.000  -2.388    93.11%         9.000   3.054   95.04%
  56      46   4046    -7.000  -1.937    72.63%         7.000   2.530   74.43%
  57      47   4047    -1.000  -0.452    10.97%         1.000   0.502   11.19%
  58      51   4051    -8.000  -2.532    83.91%         8.000   3.045   85.60%
  59      61   4061    -5.000  -1.123    51.25%         5.000   1.490   52.17%
  60      62   4062    -3.000  -0.800    31.05%         3.000   1.000   31.62%
  61      63   4063    -5.900  -2.562    64.32%         5.900   3.000   66.19%
  62    1011   4011     2.206  -1.392    26.08%        -2.206   1.448   26.39%
  63    1012   4012     6.111   0.149    61.13%        -6.111   0.149   61.13%
  64    1022   4022     2.959   0.851    30.79%        -2.959  -0.738   30.50%
  65    1044   4044    -5.796  -0.582    58.25%         5.796   0.930   58.70%
  66    1044   4044    -5.796  -0.582    58.25%         5.796   0.930   58.70%
  67    1045   4045    -4.757  -0.686    48.06%         4.757   0.925   48.46%
  68    1045   4045    -4.757  -0.686    48.06%         4.757   0.925   48.46%
  69    2031   4031     4.318  -1.308    45.11%        -4.318   1.561   45.91%
  70     141   1041    -6.000  -2.000    84.33%         6.000   2.458   86.45%
  71     142   1042    -3.000  -0.800    41.40%         3.000   0.898   41.75%
  72     143   1043    -2.300  -0.750    32.26%         2.300   0.809   32.51%
  73     144   1044    -8.000  -3.000    85.44%         8.000   3.807   88.60%
  74     145   1045    -7.000  -2.500    74.33%         7.000   3.107   76.59%
