 ==============================================================================
| Branch flow                                                                 |
 ==============================================================================
|Branch  From   To        From Bus Injection              To Bus Injection    |
|  #     Bus    Bus    P (pu)   Q (pu)  loading        P (pu)   Q (pu) loading|
  35    4041   4061     1.447  -0.391    16.65%        -1.434  -0.788   18.18%
  36    4042   4043     7.432   0.857    83.12%        -7.319  -0.497   81.51%
  37    4042   4044     6.211  -0.224    69.05%        -6.134   0.399   68.29%
  38    4043   4044     1.045  -2.105    26.11%        -1.040   1.866   23.74%
  39    4043   4046     1.143   0.532    25.22%        -1.142  -0.796   27.83%
  40    4043   4047    -3.870  -0.983    79.86%         3.902   0.724   79.38%
  41    4044   4045     4.173  -0.394    83.83%        -4.137   0.156   82.81%
  42    4044   4045     4.173  -0.394    83.83%        -4.137   0.156   82.81%
  43    4045   4051     1.004  -0.891    26.86%        -1.000  -0.253   20.63%
  44    4045   4051     1.004  -0.891    26.86%        -1.000  -0.253   20.63%
  45    4045   4062    -3.248  -0.380    65.41%         3.374  -1.087   70.89%
  46    4046   4047    -5.858  -1.734    81.46%         5.898   1.838   82.36%
  47    4061   4062    -3.566  -0.702    72.69%         3.593   0.381   72.26%
  48    4062   4063    -2.333  -0.133    46.74%         2.350  -0.601   48.51%
  49    4062   4063    -2.333  -0.133    46.74%         2.350  -0.601   48.51%
  50    4071   4072    -0.000  -1.500    30.00%        -0.000  -1.500   30.00%
  51    4071   4072    -0.000  -1.500    30.00%        -0.000  -1.500   30.00%
  52      41   4041    -5.400  -1.283    55.50%         5.400   1.600   56.32%
  53      42   4042    -4.000  -1.257    41.93%         4.000   1.494   42.70%
  54      43   4043    -9.000  -2.388    93.11%         9.000   3.054   95.04%
  55      46   4046    -7.000  -1.937    72.63%         7.000   2.530   74.43%
  56      47   4047    -1.000  -0.452    10.97%         1.000   0.502   11.19%
  57      51   4051    -8.000  -2.532    83.91%         8.000   3.045   85.60%
  58      61   4061    -5.000  -1.123    51.25%         5.000   1.490   52.17%
  59      62   4062    -3.000  -0.800    31.05%         3.000   1.000   31.62%
  60      63   4063    -5.900  -2.562    64.32%         5.900   3.000   66.19%
  61    1011   4011     1.256  -1.492    19.50%        -1.256   1.523   19.74%
  62    1012   4012     7.004   0.196    70.07%        -7.004   0.196   70.07%
  63    1022   4022     2.959   0.860    30.82%        -2.959  -0.746   30.52%
  64    1044   4044    -5.796  -0.581    58.25%         5.796   0.930   58.70%
  65    1044   4044    -5.796  -0.581    58.25%         5.796   0.930   58.70%
  66    1045   4045    -4.757  -0.686    48.06%         4.757   0.925   48.46%
  67    1045   4045    -4.757  -0.686    48.06%         4.757   0.925   48.46%
  68    2031   4031     4.318  -1.308    45.11%        -4.318   1.561   45.91%
  69     141   1041    -6.000  -2.000    84.33%         6.000   2.458   86.45%
  70     142   1042    -3.000  -0.800    41.40%         3.000   0.898   41.75%
  71     143   1043    -2.300  -0.750    32.26%         2.300   0.809   32.51%
  72     144   1044    -8.000  -3.000    85.44%         8.000   3.807   88.60%
  73     145   1045    -7.000  -2.500    74.33%         7.000   3.107   76.59%
